exon_id	fraction	time	T2C_over_T	weighted_error	T_exon
ENSMUSE00000357088	nuc_exon	15	0.0220384337692415	0.10063823984861953	625.5
ENSMUSE00000357088	nuc_exon	20	0.049683043120355	0.10063823984861953	1268.0
ENSMUSE00000357088	nuc_exon	30	0.0651746899064706	0.10063823984861953	563.5
ENSMUSE00000357088	nuc_exon	40	0.1418993645491289	0.10063823984861953	1068.0
ENSMUSE00000357088	nuc_exon	60	0.2058691913176773	0.10063823984861953	1220.75
ENSMUSE00000357088	nuc_exon	120	0.4079703397139518	0.10212746616206507	946.5
ENSMUSE00000357088	nuc_exon	180	0.3350759954924087	0.10063823984861953	1001.0
ENSMUSE00000357088	cyto	15	0.0808915691447074	0.11609429309124653	460.0
ENSMUSE00000357088	cyto	20	0.0322008260197708	0.11609429309124653	334.25
ENSMUSE00000357088	cyto	30	0.2018834565766099	0.2018834565766099	315.0
ENSMUSE00000357088	cyto	40	0.1245322816187022	0.12222736349592209	103.0
ENSMUSE00000357088	cyto	60	0.2129045257811153	0.12204370908866038	285.5
ENSMUSE00000357088	cyto	120	0.1622954592993401	0.11609429309124653	382.5
ENSMUSE00000357088	cyto	180	0.1926233306325695	0.11609429309124653	474.75
ENSMUSE00000357088	mem	15	0.0132508320155434	0.1	1713.0
ENSMUSE00000357088	mem	20	0.0053318206648301	0.1	2180.25
ENSMUSE00000357088	mem	30	0.0178429548602382	0.1	1709.0
ENSMUSE00000357088	mem	40	0.115857877178895	0.1	2034.0
ENSMUSE00000357088	mem	60	0.086833813465053	0.1	2784.75
ENSMUSE00000357088	mem	120	0.0905552543334168	0.1	2304.0
ENSMUSE00000357088	mem	180	0.1774621708103157	0.1	2169.25
gene	nuc_intron	15	0.796564894459874	0.10771010284442412	846.5
gene	nuc_intron	20	0.5276736275184627	0.10231303085332724	1698.75
gene	nuc_intron	30	0.7391360210352815	0.10231303085332724	630.5
gene	nuc_intron	40	0.3578888437480966	0.10231303085332724	1349.0
gene	nuc_intron	60	0.8264661273780473	0.10231303085332724	1579.75
gene	nuc_intron	120	0.892001004013624	0.10231303085332724	1540.5
gene	nuc_intron	180	0.933729762768114	0.10231303085332724	1414.5
