exon_id	fraction	time	T2C_over_T	weighted_error	T_exon
ENSMUSE00000108525	nuc_exon	15	0.0	0.11840071911546049	728.0
ENSMUSE00000108525	nuc_exon	20	0.0116344494888672	0.11840071911546049	884.5
ENSMUSE00000108525	nuc_exon	30	0.0168972915326486	0.11840071911546049	545.0
ENSMUSE00000108525	nuc_exon	40	0.0804176036074742	0.11840071911546049	400.0
ENSMUSE00000108525	nuc_exon	60	0.0621539248602865	0.11840071911546049	466.75
ENSMUSE00000108525	nuc_exon	120	0.3711555711059799	0.12240574624888281	497.25
ENSMUSE00000108525	nuc_exon	180	0.8371431668988927	0.2557199365439421	523.25
ENSMUSE00000108553	nuc_exon	15	0.0549673703635163	0.13605270272293365	1138.0
ENSMUSE00000108553	nuc_exon	20	0.0380228165659469	0.13605270272293365	1163.0
ENSMUSE00000108553	nuc_exon	30	0.0246856997584261	0.13605270272293365	842.0
ENSMUSE00000108553	nuc_exon	40	0.038537411918736	0.13605270272293365	575.0
ENSMUSE00000108553	nuc_exon	60	0.5800698183238429	0.4364918920807139	567.25
ENSMUSE00000108553	nuc_exon	120	0.3829085615085748	0.13605270272293365	698.75
ENSMUSE00000108553	nuc_exon	180	0.5319755238601742	0.13605270272293365	767.75
ENSMUSE00000479017	nuc_exon	15	0.0495820093925657	0.1	29017.0
ENSMUSE00000479017	nuc_exon	20	0.1491587686053006	0.1	37506.5
ENSMUSE00000479017	nuc_exon	30	0.1969319201675562	0.1	30751.0
ENSMUSE00000479017	nuc_exon	40	0.3251459459029363	0.1	17240.0
ENSMUSE00000479017	nuc_exon	60	0.4545291495751695	0.1	21640.75
ENSMUSE00000479017	nuc_exon	120	0.6425994667959963	0.1	15665.75
ENSMUSE00000479017	nuc_exon	180	0.7847298501398965	0.1	16213.75
ENSMUSE00000840996	nuc_exon	15	0.0740440457409746	0.1	4943.5
ENSMUSE00000840996	nuc_exon	20	0.1124067152381523	0.1	6130.5
ENSMUSE00000840996	nuc_exon	30	0.1528376356887562	0.1	5079.0
ENSMUSE00000840996	nuc_exon	40	0.3110461295426349	0.1	2769.5
ENSMUSE00000840996	nuc_exon	60	0.4578747917609614	0.1	2930.5
ENSMUSE00000840996	nuc_exon	120	0.7078924821538537	0.1	2821.0
ENSMUSE00000840996	nuc_exon	180	0.7100163333143088	0.1	2651.25
ENSMUSE00001003357	nuc_exon	15	0.0	0.10754325105457976	1256.0
ENSMUSE00001003357	nuc_exon	20	0.0145325984221953	0.10754325105457976	1978.25
ENSMUSE00001003357	nuc_exon	30	0.0187509382012347	0.10754325105457976	1101.0
ENSMUSE00001003357	nuc_exon	40	0.1741395355385143	0.10754325105457976	704.5
ENSMUSE00001003357	nuc_exon	60	0.3712248413244562	0.10754325105457976	802.0
ENSMUSE00001003357	nuc_exon	120	0.6393443545479076	0.10754325105457976	944.75
