exon_id	fraction	time	T2C_over_T	weighted_error	T_exon
ENSMUSE00000853356	nuc_exon	15	0.1671059872737923	0.12389404959102557	5200.5
ENSMUSE00000853356	nuc_exon	20	0.3767172671060756	0.12389404959102557	7152.5
ENSMUSE00000853356	nuc_exon	30	0.3986765274230605	0.2250462233118062	4904.0
ENSMUSE00000853356	nuc_exon	40	0.5298320701454422	0.14838527614213368	5316.0
ENSMUSE00000853356	nuc_exon	60	0.6351560171379224	0.12389404959102557	5322.5
ENSMUSE00000853356	nuc_exon	120	0.8696405783422059	0.12389404959102557	3535.75
ENSMUSE00000853356	nuc_exon	180	0.9477046726748602	0.12389404959102557	3081.5
ENSMUSE00000858939	nuc_exon	15	0.1228663114031107	0.1053248170899633	1938.0
ENSMUSE00000858939	nuc_exon	20	0.2543792691089299	0.1053248170899633	3741.25
ENSMUSE00000858939	nuc_exon	30	0.3019837897847989	0.11774939029987772	1988.5
ENSMUSE00000858939	nuc_exon	40	0.3758586448145441	0.1053248170899633	2312.0
ENSMUSE00000858939	nuc_exon	60	0.6152457060654314	0.1053248170899633	2262.5
ENSMUSE00000858939	nuc_exon	120	0.7452100384167087	0.1053248170899633	1632.0
ENSMUSE00000858939	nuc_exon	180	1.0625683407866189	0.1053248170899633	1216.0
ENSMUSE00000888774	nuc_exon	15	0.1386655864182413	0.119378780673903	4591.0
ENSMUSE00000888774	nuc_exon	20	0.3835150183125348	0.119378780673903	6425.75
ENSMUSE00000888774	nuc_exon	30	0.4011051279132494	0.2253246033176452	4308.0
ENSMUSE00000888774	nuc_exon	40	0.5480987435399697	0.13326478475026535	4734.5
ENSMUSE00000888774	nuc_exon	60	0.6493193778847204	0.119378780673903	4923.75
ENSMUSE00000888774	nuc_exon	120	0.8761212380934031	0.119378780673903	3389.0
ENSMUSE00000888774	nuc_exon	180	0.9422645563771628	0.119378780673903	2906.5
ENSMUSE00001250447	nuc_exon	15	0.1237855159791004	0.10646256946574864	1925.0
ENSMUSE00001250447	nuc_exon	20	0.2542997836092107	0.10646256946574864	3712.25
ENSMUSE00001250447	nuc_exon	30	0.2892975727246493	0.12154189821916214	1951.5
ENSMUSE00001250447	nuc_exon	40	0.3772297063767713	0.10646256946574864	2305.5
ENSMUSE00001250447	nuc_exon	60	0.6149154231588841	0.10646256946574864	2259.25
ENSMUSE00001250447	nuc_exon	120	0.7482840320928468	0.10646256946574864	1628.0
ENSMUSE00001250447	nuc_exon	180	1.0625590549498822	0.10646256946574864	1213.75
ENSMUSE00001285920	nuc_exon	15	0.1237855159791004	0.10646256946574864	1925.0
ENSMUSE00001285920	nuc_exon	20	0.2542997836092107	0.10646256946574864	3712.25
ENSMUSE00001285920	nuc_exon	30	0.2892975727246493	0.12154189821916214	1951.5
ENSMUSE00001285920	nuc_exon	40	0.3772297063767713	0.10646256946574864	2305.5
ENSMUSE00001285920	nuc_exon	60	0.6149154231588841	0.10646256946574864	2259.25
ENSMUSE00001285920	nuc_exon	120	0.7482840320928468	0.10646256946574864	1628.0
ENSMUSE00001285920	nuc_exon	180	1.0625590549498822	0.10646256946574864	1213.75
ENSMUSE00001320269	nuc_exon	15	0.1770790884307119	0.12616263502934094	3091.5
ENSMUSE00001320269	nuc_exon	20	0.3943122935610437	0.12616263502934094	4470.75
ENSMUSE00001320269	nuc_exon	30	0.3479284655566769	0.2781532257198332	2861.0
ENSMUSE00001320269	nuc_exon	40	0.5614537177505694	0.1426704770011782	3672.0
ENSMUSE00001320269	nuc_exon	60	0.6315012935946944	0.12616263502934094	3563.0
ENSMUSE00001320269	nuc_exon	120	0.8485340673928042	0.12616263502934094	2455.0
ENSMUSE00001320269	nuc_exon	180	0.9985087829532806	0.12616263502934094	2201.25
ENSMUSE00000853356	cyto	15	0.1059736045605719	0.1000186222258457	5232.0
ENSMUSE00000853356	cyto	20	0.2374683913074001	0.1000186222258457	4021.25
ENSMUSE00000853356	cyto	30	0.2787314855066269	0.1000186222258457	5399.0
ENSMUSE00000853356	cyto	40	0.4704203594137307	0.1000186222258457	2518.5
ENSMUSE00000853356	cyto	60	0.7120763734673614	0.1000186222258457	2158.5
ENSMUSE00000853356	cyto	120	0.9665231538636856	0.10006207408615236	2422.75
ENSMUSE00000853356	cyto	180	1.0568761931479624	0.1000186222258457	2343.5
ENSMUSE00000858939	cyto	15	0.1115981342692447	0.1105309036752555	2780.0
ENSMUSE00000858939	cyto	20	0.139211701579735	0.1105309036752555	2234.75
ENSMUSE00000858939	cyto	30	0.1377216684978455	0.1105309036752555	2968.5
ENSMUSE00000858939	cyto	40	0.3217407296150416	0.11509083371338526	1521.0
ENSMUSE00000858939	cyto	60	0.6822473398297503	0.12221498150639684	1140.5
ENSMUSE00000858939	cyto	120	0.8482257809802309	0.1105309036752555	1161.0
ENSMUSE00000858939	cyto	180	0.99621517284049	0.11885900438158063	1047.0
ENSMUSE00000888774	cyto	15	0.1193350559652302	0.10067030128116558	4644.5
ENSMUSE00000888774	cyto	20	0.2469594425032767	0.10067030128116558	3502.0
ENSMUSE00000888774	cyto	30	0.2950026453736028	0.10067030128116558	4765.5
ENSMUSE00000888774	cyto	40	0.4765405846711517	0.10067030128116558	2487.0
ENSMUSE00000888774	cyto	60	0.7274925697589242	0.10067030128116558	1978.0
ENSMUSE00000888774	cyto	120	0.9947953207249146	0.10223433760388531	2358.0
ENSMUSE00000888774	cyto	180	1.0209520373293084	0.10067030128116558	2155.5
ENSMUSE00001250447	cyto	15	0.1118263042974634	0.11054893696441814	2774.0
ENSMUSE00001250447	cyto	20	0.1392168270237165	0.11054893696441814	2234.5
ENSMUSE00001250447	cyto	30	0.1392077481465738	0.11054893696441814	2939.0
ENSMUSE00001250447	cyto	40	0.32514301462277	0.11523170382532277	1503.5
ENSMUSE00001250447	cyto	60	0.6838358407103211	0.12206669135884747	1135.25
ENSMUSE00001250447	cyto	120	0.8461130466025615	0.11054893696441814	1156.5
ENSMUSE00001250447	cyto	180	0.995624918694446	0.11896260195939323	1035.75
ENSMUSE00001285920	cyto	15	0.1118263042974634	0.11054893696441814	2774.0
ENSMUSE00001285920	cyto	20	0.1392168270237165	0.11054893696441814	2234.5
ENSMUSE00001285920	cyto	30	0.1392077481465738	0.11054893696441814	2939.0
ENSMUSE00001285920	cyto	40	0.32514301462277	0.11523170382532277	1503.5
ENSMUSE00001285920	cyto	60	0.6838358407103211	0.12206669135884747	1135.25
ENSMUSE00001285920	cyto	120	0.8461130466025615	0.11054893696441814	1156.5
ENSMUSE00001285920	cyto	180	0.995624918694446	0.11896260195939323	1035.75
ENSMUSE00001320269	cyto	15	0.1584838409671951	0.10610055276602354	3210.0
ENSMUSE00001320269	cyto	20	0.2040561936927848	0.10610055276602354	2411.25
ENSMUSE00001320269	cyto	30	0.2785301242382272	0.10610055276602354	3512.5
ENSMUSE00001320269	cyto	40	0.4960973714847112	0.10610055276602354	2039.0
ENSMUSE00001320269	cyto	60	0.7526550697112103	0.11814761211463867	1414.25
ENSMUSE00001320269	cyto	120	0.999696329546853	0.10828811653813002	1827.75
